ID,Teratogenicity,LogP,Aromatic_rings,Molecular_weight,H_bond_acceptors,H_bond_donors,Polar_surface_area,Rotatable_bonds,C,F,I,N,O,P,S,T,X,Y,CC,CF,CI,CN,CO,CP,CS,CT,CX,CY,FT,IT,NN,NO,NP,NS,NT,OP,OS,OT,PS,ST,TX,TY,CCC,CCF,CCI,CCN,CCO,CCS,CCT,CCX,CCY,CFT,CIT,CNC,CNN,CNO,CNP,CNS,CNT,COC,CON,COP,COS,COT,CPO,CSC,CSN,CSO,CSP,CST,CXT,CYT,FCF,NCN,NCO,NCS,NCT,NCX,NNN,NOT,NPN,NPS,NSO,OCO,OCP,OCS,OCT,ONO,OPO,OPS,OSO,POT,PST,SCS,SCT,SNT,SOT,SPS,XCX,CCCC,CCCF,CCCI,CCCN,CCCO,CCCS,CCCT,CCCX,CCCY,CCFT,CCIT,CCNC,CCNN,CCNO,CCNP,CCNS,CCNT,CCOC,CCON,CCOS,CCOT,CCSC,CCSN,CCSO,CCSP,CCST,CCXT,CCYT,CNCN,CNCO,CNCS,CNCT,CNCX,CNNC,CNNN,CNOC,CNOT,CNPN,CNPS,CNSC,CNSO,COCN,COCO,COCP,COCS,COCT,COPC,COPO,COPS,COSC,COSO,CPOT,CSCN,CSCO,CSCS,CSCT,CSNT,CSOT,CSPO,CSPS,FCCF,FCCN,FCCO,FCFT,ICCN,ICCO,ICCT,NCCN,NCCO,NCCS,NCCT,NCCX,NCNN,NCNO,NCNS,NCNT,NCON,NCOT,NCSN,NCSO,NCST,NCXT,NNCO,NNCS,NNCT,NNNN,NOCT,NPST,NSCS,NSCT,NSOT,OCCO,OCCS,OCCT,OCCX,OCNO,OCNS,OCNT,OCOP,OCOT,OCPO,ONOT,OPOT,OPST,OSCS,OSCT,OSNT,OSOT,POCT,SCCT,SCCX,SCNS,SCNT,SCOT,SNCT,SPST,TCCX,TCOT,TXCX,XCCX,double_bonds,triple_bonds,number_of_charges,net_charge,number_of_rings
CHEMBL1466,1,2.79,2,336.29,6,2,93.06,2,19,0,0,0,6,0,0,4,0,0,40,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,50,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
CHEMBL633,1,7.24,3,645.31,3,0,42.68,11,25,0,2,1,3,0,0,6,0,0,46,0,4,6,10,0,0,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,48,0,8,6,18,0,6,0,0,0,4,6,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,8,0,24,0,2,0,0,0,8,12,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
CHEMBL1201039,1,1.97,2,431.94,6,2,160.75,5,15,0,0,3,4,0,3,6,1,0,28,0,0,6,0,0,8,0,2,0,0,0,0,0,0,4,2,0,8,8,0,0,2,0,28,0,0,8,0,12,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,4,8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,2,8,0,0,28,0,0,4,0,12,0,4,0,0,0,6,0,0,0,2,0,0,0,0,0,4,8,16,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,3
CHEMBL170365,-1,-0.18,0,44.05,1,0,17.07,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHEMBL223520,1,-7.14,0,484.5,15,11,282.61,6,18,0,0,4,11,0,0,11,0,0,32,0,0,8,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,28,0,0,14,50,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,42,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CHEMBL397420,1,2.72,2,353.33,6,1,109.41,5,19,0,0,1,6,0,0,6,0,0,40,0,0,2,10,0,0,2,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,50,0,0,4,16,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,4,24,0,2,0,0,0,0,0,0,8,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3
CHEMBL547,1,5.55,0,300.44,2,1,37.29,5,20,0,0,0,2,0,0,7,0,0,40,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,54,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
CHEMBL449,1,1.45,0,212.25,3,2,75.27,3,10,0,0,2,3,0,0,6,0,0,16,0,0,8,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,22,0,0,4,4,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,12,12,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
CHEMBL451,1,2.3,2,299.75,3,1,53.14,2,16,0,0,3,1,0,0,3,1,0,30,0,0,12,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,34,0,0,14,0,0,0,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,14,0,0,0,4,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3
CHEMBL404520,1,-0.23,1,478.88,9,6,181.62,2,22,0,0,2,8,0,0,13,1,0,46,0,0,8,16,0,0,6,2,0,0,0,0,0,0,0,2,0,0,16,0,0,2,0,68,0,0,6,34,0,2,4,0,0,0,6,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,10,56,0,4,6,0,0,0,8,0,0,0,0,2,0,0,0,34,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
